candidate_id,name.x,party,state,district,cycles,name.y,committee_id
H8AL06099,"KLINE, DANNER",DEM,AL,6,"{2018,2020}",FRIENDS OF DANNER KLINE,C00638536
H8AL07089,"RICE, RICHARD BRAND NEW",DEM,AL,7,"{2018,2020}",RICHARD RICE 2018,C00640144
H8AL88014,"MAY, JUSTIN TYLER MR.",DEM,AL,88,"{2018,2020}",THE COMMITTEE TO ELECT TYLER MAY,C00663575
H8AR01029,"DESAI, CHINTAN",DEM,AR,1,{2018},CHINTAN DESAI FOR CONGRESS,C00661371
H8AR02126,"BURCH, NATASHIA",IND,AR,2,"{2018,2020}",UNITED FOR BURCH HULSEY,C00640128
H8AR02134,"SPENCER, PAUL JOHN MR.",DEM,AR,2,"{2018,2020}",PAUL SPENCER FOR CONGRESS,C00648741
H8AR02142,"COMBS, GWENDOLYNN MILLEN MRS.",DEM,AR,2,"{2018,2020}",COMBS FOR ARKANSAS,C00652289
H8AR02159,"TUCKER, EVERETT CLARKE IV",DEM,AR,2,"{2018,2020}",CLARKE TUCKER FOR CONGRESS,C00671156
H8AR02167,"DUNKLEY, JONATHAN",DEM,AR,2,{2018},JONATHAN DUNKLEY FOR CONGRESS,C00668830
H8AR03066,"RYERSE, ROBERT",REP,AR,3,"{2018,2020}",ROBERT RYERSE 2018,C00639849
H8AR03074,"MAHONY, JOSH",DEM,AR,3,"{2018,2020}",JOSH MAHONY FOR CONGRESS,C00650093
H8AR04114,"BARRETT, MICHAEL",LIB,AR,4,{2018},COMMITTEE TO ELECT MICHAEL BARRETT,C00652032
H8AR04122,"MCQUEEN, LEE",IND,AR,4,{2018},MCQUEEN4CONGRESS,C00658898
H8AR04130,"SHAMEL, HAYDEN CATHERINE",DEM,AR,4,"{2018,2020}",HAYDEN SHAMEL FOR ARKANSAS,C00659235
H8AR04148,"CALDWELL, RANDY",REP,AR,4,"{2018,2020}",RANDY CALDWELL FOR CONGRESS,C00675744
H8AR04155,"MARTIN, SUSANANN",W,AR,4,"{2018,2020}",SUSANANN FOR CONGRESS,C00671529
H8AZ01211,"CAVANAUGH, KEVIN",REP,AZ,1,"{2018,2020}",CAVANAUGH FOR CONGRESS,C00634824
H8AZ01229,"SMITH, STEVE",REP,AZ,1,"{2018,2020}",STEVE SMITH FOR CONGRESS,C00641431
H8AZ01237,"SHEDD, TIFFANY",REP,AZ,1,"{2018,2020}",TIFFANY SHEDD FOR CONGRESS COMMITTEE,C00657155
H8AZ02102,"FOSTER, WILLIAM ABBOTT PHD",DEM,AZ,2,{2018},WILL FOSTER 4 CONGRESS,C00635623
H8AZ02110,"KOVACS, WILLIAM RICHARD",DEM,AZ,2,"{2018,2020}",BILLY KOVACS FOR CONGRESS,C00636175
H8AZ02128,"VERDIN, CHARLIE",DEM,AZ,2,"{2018,2020}",CHARLIE VERDIN FOR CONGRESS,C00636423
H8AZ02136,"HEINZ, MATTHEW GERALD",DEM,AZ,2,"{2018,2020}",DR MATT HEINZ FOR ARIZONA,C00647727
H8AZ02144,"MATIELLA, MARIA MARY",DEM,AZ,2,{2018},MATIELLA FOR CONGRESS,C00648014
H8AZ02169,"WHEELER, BRUCE",DEM,AZ,2,"{2018,2020}",WHEELER FOR CONGRESS,C00653238
H8AZ02177,"SHERRY, BARBARA LOUISE",DEM,AZ,2,{2018},BARBARASHERRYFORCONGRESS,C00658054
H8AZ02185,"MARQUEZ PETERSON, LEA",REP,AZ,2,"{2018,2020}",LEA MARQUEZ PETERSON FOR CONGRESS,C00663054
H8AZ02193,"WELCH, CASEY BURKE MR.",REP,AZ,2,{2018},CASEYWELCHFORCONGRESS,C00667287
H8AZ02201,"MARTIN, BRANDON RAY",REP,AZ,2,"{2018,2020}",MARTIN FOR FREEDOM,C00668285
H8AZ02219,"WILES, MARILYN MS",REP,AZ,2,"{2018,2020}",MARILYN WILES FOR CONGRESS,C00669572
H8AZ02227,"MORALES, DANIEL ROMERO JR",REP,AZ,2,"{2018,2020}",MORALES FOR CONGRESS,C00670224
H8AZ02235,"YUKSEL, YAHYA",DEM,AZ,2,"{2018,2020}",YAHYA4CONGRESS,C00671875
H8AZ03142,"ARELLANO, SERGIO",REP,AZ,3,"{2018,2020}",ARELLANO FOR ARIZONA,C00663245
H8AZ03159,"PIERSON, JOE NICOLAS",REP,AZ,3,"{2018,2020}",PIERSON FOR CONGRESS,C00666107
H8AZ03175,"EVANS, PAUL MURRAY",REP,AZ,3,"{2018,2020}",PAUL EVANS CANDIDATE COMMITTEE,C00673376
H8AZ04132,"PEREZ GISSY, ANA MARIA MS",DEM,AZ,4,"{2018,2020}",ANA MARIA PEREZ FOR CONGRESS,C00651620
H8AZ04140,"BRILL, DAVID H",DEM,AZ,4,"{2018,2020}",BRILL FOR CONGRESS,C00664342
H8AZ04140,"BRILL, DAVID H",DEM,AZ,4,"{2018,2020}",DAVID BRILL FOR CONGRESS COMMITTEE,C00664359
H8AZ04157,"ANDRESKI, THADDEUS J MR. II",W,AZ,4,{2018},THAD ANDRESKI II AZCD4,C00667535
H8AZ04165,"DISANTO, DELINA",DEM,AZ,4,"{2018,2020}",DELINA DISANTO FOR CONGRESS,C00672154
H8AZ05154,"GREENE, JOAN",DEM,AZ,5,"{2018,2020}",JOAN GREENE FOR CONGRESS,C00640938
H8AZ05162,"TORRES, JOSE LAZARO",DEM,AZ,5,"{2018,2020}",FRIENDS OF JOSE TORRES,C00661686
H8AZ05170,"MARGALIS, TONY",DEM,AZ,5,{2018},TONY MARGALIS FOR CONGRESS,C00665224
H8AZ06087,"MCFADDEN, GARRICK ARVIN MR.",DEM,AZ,6,{2018},GARRICK MCFADDEN FOR CONGRESS,C00638262
H8AZ06095,"ROSS, HEATHER MAURA",DEM,AZ,6,{2018},HEATHER ROSS FOR CONGRESS,C00651752
H8AZ06103,"MALIK, ANITA",DEM,AZ,6,"{2018,2020}",ANITA FOR ARIZONA,C00655134
H8AZ06111,"JETTE, MATT DR.",DEM,AZ,6,"{2018,2020}",JETTE FOR US,C00673566
H8AZ06111,"JETTE, MATT DR.",DEM,AZ,6,"{2018,2020}",JETTE FOR US CONGRESS,C00673640
H8AZ07044,"MIRANDA, CATHERINE",DEM,AZ,7,"{2018,2020}",MIRANDA FOR ARIZONA,C00664490
H8AZ08059,"WESTBROOK, BRIANNA",DEM,AZ,8,{2018},BRIANNA WESTBROOK FOR CONGRESS,C00634188
H8AZ08067,"MCHALE, JUDITH KEENAN",DEM,AZ,8,"{2018,2020}",JUDITH MCHALE FOR CONGRESS,C00635730
H8AZ08075,"BEYER, AUGUSTINE BEYER",NNE,AZ,8,"{2018,2020}",COMMITTEE TO ELECT AUGIE BEYER,C00648873
H8AZ08083,"TIPIRNENI, HIRAL",DEM,AZ,8,"{2018,2020}",HIRAL FOR CONGRESS,C00649897
H8AZ08091,"SYLVESTER, CHRISTOPHER",IND,AZ,8,"{2018,2020}",SYLVESTER FOR ARIZONA,C00657627
H8AZ08109,"LIEN, DAVID",REP,AZ,8,"{2018,2020}",DAVID LIEN FOR CONGRESS,C00662460
H8AZ08133,"LOVAS, PHIL",REP,AZ,8,{2018},LOVAS FOR CONGRESS,C00663203
H8AZ08141,"ALLEN, CHAD",REP,AZ,8,{2018},CHAD ALLEN FOR CONGRESS,C00663757
H8AZ08158,"LESKO, DEBBIE",REP,AZ,8,"{2018,2020}",DEBBIE LESKO FOR CONGRESS,C00663914
H8AZ08166,"BAKER, SCOTT ALLEN 1972",REP,AZ,8,"{2018,2020}",BAKER FOR CONGRESS 2018,C00664003
H8AZ08174,"MONTENEGRO, STEVE",REP,AZ,8,{2018},MONTENEGRO FOR CONGRESS,C00664813
H8AZ08182,"DILLEY, BRENDEN",REP,AZ,8,{2018},DILLEY FOR CONGRESS,C00663351
H8AZ08190,"MACK, RICHARD",REP,AZ,8,{2018},SHERIFF RICHARD MACK FOR CONGRESS INC.,C00664953
H8AZ08208,"SAWDY, STEVEN",REP,AZ,8,{2018},SAWDY FOR ARIZONA,C00666867
H8AZ08232,"MUSSELWHITE, ROBERT RICHARD",DEM,AZ,8,"{2018,2020}",BOB MUSSELWHITE FOR CONGRESS,C00673194
H8AZ08240,"OLSEN, ROBERT DEAN",DEM,AZ,8,"{2018,2020}",BOBOLSENIN 2018,C00676122
H8AZ08257,"DOWLING, SANDRA ELAINE DR",REP,AZ,8,{2018},DOWLING FOR CONGRESS,C00679993
